date,adjusted_close,close,high,low,open,volume,daily_return,ma20,ma50,volatility_20
,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,,,,
2023-01-02,7820.34521484375,8550.0,8600.0,8500.0,8575.0,10653900,,,,
2023-01-03,7820.34521484375,8550.0,8600.0,8525.0,8550.0,27399100,0.0,,,
2023-01-04,7637.4130859375,8350.0,8575.0,8350.0,8525.0,90918800,-0.023391812865497075,,,
2023-01-05,7545.9462890625,8250.0,8375.0,8150.0,8350.0,128838500,-0.0119760479041916,,,
2023-01-06,7591.6796875,8300.0,8325.0,8100.0,8100.0,69286600,0.0060606060606061,,,
2023-01-09,7728.87890625,8450.0,8450.0,8325.0,8325.0,86916900,0.01807228915662651,,,
2023-01-10,7477.34716796875,8175.0,8425.0,8150.0,8400.0,101759100,-0.03254437869822491,,,
2023-01-11,7431.61474609375,8125.0,8150.0,8000.0,8050.0,96069100,-0.006116207951070374,,,
2023-01-12,7477.34716796875,8175.0,8275.0,8125.0,8150.0,103804600,0.006153846153846176,,,
2023-01-13,7363.01513671875,8050.0,8175.0,8025.0,8150.0,119748200,-0.015290519877675823,,,
2023-01-16,7454.48095703125,8150.0,8200.0,8050.0,8050.0,105710700,0.012422360248447228,,,
2023-01-17,7614.5458984375,8325.0,8375.0,8150.0,8175.0,88695900,0.021472392638036908,,,
2023-01-18,7591.6796875,8300.0,8325.0,8175.0,8200.0,96814600,-0.0030030030030030463,,,
2023-01-19,7614.5458984375,8325.0,8350.0,8250.0,8350.0,66391800,0.003012048192771122,,,
2023-01-20,7591.6796875,8300.0,8325.0,8250.0,8275.0,96859500,-0.0030030030030030463,,,
2023-01-24,7523.08056640625,8225.0,8350.0,8225.0,8300.0,42474500,-0.009036144578313254,,,
2023-01-25,7500.21435546875,8200.0,8300.0,8200.0,8300.0,66124500,-0.003039513677811523,,,
2023-01-26,7751.74560546875,8475.0,8475.0,8225.0,8225.0,77582300,0.03353658536585358,,,
2023-01-27,7957.54443359375,8700.0,8850.0,8550.0,8700.0,196804700,0.026548672566371723,,,
